,Trial_IDs,Transition,P1_IN_Ephys_TS,P1_OUT_Ephys_TS,P2_IN_Ephys_TS,P2_OUT_Ephys_TS,Latency,RewardEphysTS
113,19,63,293.5833333333333,293.6141333333333,295.03033333333326,295.1456333333333,1.4470000000000027,NaN
114,19,33,295.03033333333326,295.1456333333333,295.27003333333334,295.51413333333335,0.2397000000000276,NaN
115,19,37,295.27003333333334,295.51413333333335,295.90453333333335,296.2470333333334,0.6345000000000027,NaN
116,19,76,295.90453333333335,296.2470333333334,297.66906666666665,297.73586666666665,1.7640999999999851,NaN
117,19,61,297.66906666666665,297.73586666666665,298.8385666666666,298.9773666666666,1.1695000000000275,NaN
118,19,11,298.8385666666666,298.9773666666666,299.2112666666666,299.4198666666666,0.3726999999999521,NaN
119,19,16,299.2112666666666,299.4198666666666,300.4035666666666,300.4547666666666,1.1923000000000457,NaN
120,19,63,300.4035666666666,300.4547666666666,300.9246666666666,300.92476666666664,0.5210999999999899,NaN
121,19,33,300.92506666666657,301.1631666666666,301.1995666666666,301.3856666666666,0.27450000000004593,NaN
122,19,37,301.1995666666666,301.3856666666666,301.68766666666664,303.3200666666667,0.4880999999999744,301.68766666666664
123,20,22,322.9264333333333,322.9681333333333,324.0585333333334,324.3485333333333,1.1321000000000367,NaN
124,20,21,324.0585333333334,324.3485333333333,324.6314333333334,324.6767333333334,0.5729000000000042,NaN
125,20,16,324.71323333333333,324.8017333333334,325.2711333333334,325.3560333333334,0.5577000000000112,NaN
126,20,66,325.2711333333334,325.3560333333334,325.52843333333334,325.70053333333334,0.2572999999999865,NaN
127,20,63,325.52843333333334,325.70053333333334,326.17923333333334,326.33413333333334,0.6508000000000038,NaN
128,20,33,326.17923333333334,326.33413333333334,326.62743333333333,326.7165333333334,0.4481999999999857,NaN
129,20,37,326.62743333333333,326.7165333333334,327.07353333333333,328.4821333333333,0.4461000000000013,327.07353333333333
130,21,21,330.8580333333333,330.8798333333333,331.2486333333333,331.4656333333333,0.3906000000000063,NaN
131,21,21,338.91116666666676,339.0346666666667,339.5638666666667,339.6430666666667,0.6526999999999816,NaN
132,21,16,339.5638666666667,339.6430666666667,340.5381666666667,340.6193666666667,0.9742999999999712,NaN
133,21,63,340.5381666666667,340.6193666666667,341.1109666666667,341.11106666666666,0.5728000000000293,NaN
134,21,37,341.11116666666663,341.29356666666666,341.65906666666666,343.98226666666665,0.5478999999999701,341.65906666666666
135,22,21,396.2722,396.3501,396.7414,396.9126,0.4691999999999439,NaN
136,22,12,396.7414,396.9126,397.3656,397.3682,0.6242000000000303,NaN
137,22,26,397.3656,397.3682,397.5876,397.5938,0.22199999999998,NaN
138,22,62,397.5876,397.5938,397.8687333333333,397.8756333333333,0.2810000000000059,NaN
139,22,23,397.8687333333333,397.8756333333333,398.1531333333333,398.29703333333333,0.2844000000000051,NaN
140,22,37,398.1531333333333,398.29703333333333,398.6415333333333,400.3463333333333,0.4884000000000128,398.6415333333333
141,23,21,403.3906666666667,403.4610666666667,403.9207666666667,404.1612666666667,0.5300999999999476,NaN
142,23,16,403.9207666666667,404.1612666666667,404.7445666666666,404.8455666666667,0.8238000000000056,NaN
143,23,63,404.7445666666666,404.8455666666667,405.3102,405.3103,0.5655000000000427,NaN
144,23,33,405.3104,405.4488,405.5433,405.7849,0.2329000000000292,NaN
